WHD Enforcement Statistics: All Acts,,,,,,,,,,,,,
,FY 2025,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,FY 2017,FY 2016,FY 2015,FY 2014,FY 2013
Concluded Compliance Actions,"16,924","17,300","20,215","20,422","24,746","26,096","26,876","28,397","28,771","28,589","27,914","29,483","33,146"
Back Wages,"$259,294,764","$202,676,115 ","$212,325,391 ","$213,161,638 ","$234,362,486 ","$257,829,604 ","$322,490,774 ","$304,914,114 ","$270,403,906 ","$266,566,178 ","$246,780,891 ","$240,831,606 ","$249,954,412 "
Employees Receiving Back Wages,"176,957","151,989","163,768","152,970","193,796","229,934","313,941","265,027","240,608","283,677","240,340","270,570","269,250"
Civil Money Penalties Assessed,"$58,699,936","$35,920,310 ","$25,834,687 ","$21,613,896 ","$20,399,042 ","$17,871,969 ","$19,522,169 ","$15,741,194 ","$13,810,028 ","$14,761,891 ","$12,231,179 ","$12,416,855 ","$16,169,087 "
